28001,0,0,18,18,1,30,177.65
28001,0,0,22,22,1,40,111.09
28001,0,0,13,13,1,50,119.76
28001,0,0,4,4,1,50,162.6
28001,0,0,6,6,1,70,254.91
28001,0,0,6,6,0,20,46.99
28001,0,0,46,47,0,30,89.79
28001,0,0,65,65,0,40,136.02
28001,0,0,41,42,0,50,141.39
28001,0,0,41,41,0,50,178.85
28001,0,0,25,26,0,70,197.78
28001,0,0,24,24,1,30,123.1
28001,0,0,20,21,1,40,109.08
28001,0,0,29,31,1,50,142.84
28001,0,0,10,10,1,50,84.45
28001,0,0,4,4,1,70,126.45
28001,0,0,54,55,0,30,81.08
28001,0,0,63,66,0,40,101.56
28001,0,0,43,45,0,50,105.83
28001,0,0,44,45,0,50,170.56
28001,0,0,31,31,0,70,151.8
28001,0,0,6,6,1,20,39.76
28001,0,0,15,15,1,30,102.05
28001,0,0,17,17,1,40,81.14
28001,0,0,18,19,1,50,104.65
28001,0,0,13,13,1,50,116.98
28001,0,0,8,8,1,70,145.46
28001,0,0,7,7,0,20,43.82
28001,0,0,37,38,0,30,84.95
28001,0,0,75,79,0,40,88.19
28001,0,0,64,64,0,50,101.51
28001,0,0,35,39,0,50,165.17
28001,0,0,36,37,0,70,137.66
28001,0,0,5,5,1,20,207.03
28001,0,0,26,26,1,30,90.92
28001,0,0,15,15,1,40,105.71
28001,0,0,23,23,1,50,167.56
28001,0,0,10,11,1,50,55.11
28001,0,0,7,7,1,70,182.01
28001,0,0,7,7,0,20,86.99
28001,0,0,41,42,0,30,115.07
28001,0,0,78,81,0,40,100.89
28001,0,0,67,68,0,50,116.56
28001,0,0,51,52,0,50,82.61
28001,0,0,45,47,0,70,196.8
28001,0,0,20,21,1,30,65.46
28001,0,0,30,30,1,40,52.7
28001,0,0,13,13,1,50,74.45
28001,0,0,15,15,1,50,136.4
28001,0,0,9,9,1,70,260.06
28001,0,0,9,9,0,20,44.09
28001,0,0,39,40,0,30,90.26
28001,0,0,105,108,0,40,92.62
28001,0,0,60,61,0,50,117.43
28001,0,0,50,51,0,50,98.14
