201301,39,39,1,30,30.8
201301,40,43,1,40,46.37
201301,48,53,1,50,57.69
201301,24,25,1,50,39.84
201301,12,12,1,70,41.83
201301,23,23,0,30,50.8
201301,24,25,0,40,40.41
201301,34,39,0,50,62.78
201301,24,26,0,50,98.81
201301,7,7,0,70,124.94
201302,15,18,1,20,16.38
201302,33,34,1,30,36.1
201302,46,51,1,40,31.72
201302,41,45,1,50,48.96
201302,12,14,1,50,45.23
201302,7,7,1,70,47.77
201302,10,13,0,20,95.71
201302,23,23,0,30,43.59
201302,26,27,0,40,77.8
201302,26,27,0,50,123.17
201302,16,16,0,50,87.35
201302,11,12,0,70,28.22
201303,14,15,1,20,12.2
201303,43,47,1,30,24.78
201303,38,41,1,40,33.75
201303,35,36,1,50,53.62
201303,10,13,1,50,65.64
201303,10,10,1,70,34.39
201303,6,8,0,20,33.11
201303,23,25,0,30,57.79
201303,26,30,0,40,80.7
201303,24,26,0,50,78.88
201303,18,22,0,50,55.63
201303,6,6,0,70,99.69
201304,15,16,1,20,24.13
201304,43,45,1,30,34.85
201304,45,50,1,40,41.05
201304,36,38,1,50,35.5
201304,14,14,1,50,55.94
201304,14,16,1,70,52.54
201304,6,8,0,20,247.46
201304,21,21,0,30,27.84
201304,30,33,0,40,42.02
201304,29,34,0,50,46.29
201304,14,16,0,50,53.15
201304,10,11,0,70,47.19
201211,5,5,2,3,74.49
201211,16,21,1,10,69.04
201211,506,791,1,20,60.18
201211,2424,3814,1,30,66.66
201211,2374,3841,1,40,81.82
201211,1900,2961,1,50,102.68
201211,1456,2144,1,50,107.67
201211,862,1248,1,70,154.74
201211,123,170,0,20,63.67
201211,693,849,0,30,117.08
201211,602,731,0,40,132.41
201211,438,562,0,50,159.09
201211,358,452,0,50,251.5
201211,238,286,0,70,241
201212,5,6,2,3,47.77
201212,17,21,1,10,45.35
201212,585,910,1,20,60.47
201212,2918,4611,1,30,65.81
201212,2663,4292,1,40,80.95
201212,2200,3546,1,50,98.07
201212,1720,2749,1,50,120.04
201212,1024,1528,1,70,142.27
201212,3,5,0,10,52.58
201212,192,269,0,20,68.58
201212,937,1221,0,30,113.69
201212,817,1055,0,40,137.05
201212,574,750,0,50,201.3
201212,475,609,0,50,229.2
201212,310,416,0,70,260.27
201212,4,6,3,70,123.67
201301,4,6,2,3,39.93
201301,21,27,1,10,36.63
201301,724,1210,1,20,47.96
201301,3402,6068,1,30,58.54
201301,3237,5534,1,40,67.26
201301,2711,4445,1,50,77.4
201301,2012,3227,1,50,91.96
201301,1072,1558,1,70,98.18
201301,5,7,0,10,49.42
201301,200,267,0,20,65.18
201301,990,1388,0,30,85.71
201301,1031,1348,0,40,118.09
201301,715,986,0,50,146.64
201301,551,721,0,50,186.92
201301,342,444,0,70,178.18
201302,6,6,2,3,21.45
201302,21,28,1,10,39.62
201302,645,949,1,20,43.83
201302,2494,3880,1,30,59.25
201302,2328,3621,1,40,67.87
201302,1819,2760,1,50,83.22
201302,1489,2210,1,50,100.44
201302,708,1041,1,70,110.73
201302,8,8,0,10,51.28
201302,161,212,0,20,63.9
201302,704,848,0,30,92.93
201302,630,772,0,40,108.89
201302,443,582,0,50,161.81
201302,357,455,0,50,241.88
201302,207,250,0,70,167.74
201303,6,6,2,3,63.16
201303,31,42,1,10,55.21
201303,548,834,1,20,51.1
201303,2324,3578,1,30,64.33
201303,2089,3258,1,40,79.65
201303,1609,2363,1,50,95.21
201303,1268,1864,1,50,120.22
201303,660,931,1,70,132.27
201303,151,180,0,20,67.62
201303,581,712,0,30,115.93
201303,574,719,0,40,137.47
201303,330,409,0,50,161.01
201303,278,336,0,50,252.73
201303,164,212,0,70,159.61
201304,4,5,2,3,82.48
201304,20,25,1,10,37.47
201304,616,968,1,20,53.62
201304,2712,4291,1,30,70.42
201304,2685,4360,1,40,79.82
201304,2028,3215,1,50,88.32
201304,1538,2368,1,50,117.09
201304,902,1335,1,70,136.68
201304,4,5,0,10,149.38
201304,150,182,0,20,81.67
201304,705,873,0,30,103.4
201304,666,831,0,40,140.3
201304,432,526,0,50,175.64
201304,286,356,0,50,279.6
201304,241,302,0,70,244.88
201304,3,3,3,70,35.08
201211,88,118,1,20,20.06
201211,542,808,1,30,23.17
201211,557,877,1,40,30.32
201211,552,892,1,50,36.14
201211,389,659,1,50,41.4
201211,223,387,1,70,48.46
201211,41,60,0,20,25.45
201211,360,544,0,30,23.39
201211,423,593,0,40,35.49
201211,347,511,0,50,34.88
201211,278,401,0,50,36.45
201211,197,309,0,70,40.42
201212,67,88,1,20,16.81
201212,436,625,1,30,25.65
201212,560,792,1,40,35.04
201212,574,827,1,50,44.48
201212,412,628,1,50,50.23
201212,288,435,1,70,70.87
201212,37,71,0,20,30.46
201212,304,388,0,30,32.24
201212,389,491,0,40,35.48
201212,377,491,0,50,37.94
201212,321,459,0,50,54.94
201212,255,385,0,70,51.56
201301,85,119,1,20,22.7
201301,410,616,1,30,23.37
201301,441,659,1,40,29.45
201301,389,654,1,50,34.57
201301,252,432,1,50,38.38
201301,150,247,1,70,45.39
201301,43,65,0,20,21.56
201301,272,375,0,30,24.39
201301,342,474,0,40,33.37
201301,286,382,0,50,31.69
201301,216,328,0,50,34.71
201301,128,223,0,70,36.22
201302,90,137,1,20,17.85
201302,437,679,1,30,24.88
201302,495,769,1,40,30.97
201302,431,700,1,50,35.23
201302,269,448,1,50,40.77
201302,163,280,1,70,41.45
201302,51,82,0,20,24.01
201302,285,423,0,30,24.8
